PointID,AltID,AltID_text,DateOccupied,OPUS,Feature Code,Longitude_Global,Latitude_Global,Elevation_m,Northing,Easting,H_Precision,V_Precision,RMS
SV1019,1019,1019,4/16/2018,Precise,,-113.888534,39.56006618,1457.121,4382916.574,251840.5438,0.0091,0.0127,0.002
SV1020,1020,1020,4/16/2018,Precise,,-113.8885856,39.56020737,1457.533,4382932.39,251836.6128,0.009,0.0126,0.0018
SV1049,1049,1049,4/16/2018,Not Reqired,,-113.9983289,38.86703884,1635.791,4306295.385,239858.7487,0.0176,0.0224,0.0038
SV1051,1051,1051,4/16/2018,Precise,,-114.1205644,38.71250231,1689.514,4289497.177,228665.2695,0.0195,0.023,0.0045
SV1063,1063,1063,4/16/2018,Precise,,-113.883703,39.56190225,1457.314,4383107.065,252262.1904,0.011,0.0152,0.0026
SV1065,1065,1065,4/16/2018,Precise,,-113.8961328,39.55310051,1456.926,4382164.334,251162.6988,0.017,0.0231,0.0038
SV1067,1067,1067,4/16/2018,Precise,,-113.8962182,39.55302151,1457.057,4382155.8,251155.0767,0.0173,0.0235,0.0038
SV1068,1068,1068,4/16/2018,Precise,,-113.8897391,39.55454569,1456.895,4382307.081,251717.2896,0.01,0.0124,0.0031
SV1069,1069,1069,4/16/2018,Precise,,-113.8836072,39.56200262,1456.688,4383117.943,252270.781,0.0112,0.0155,0.0028
SV1070,1070,1070,4/16/2018,Not Reqired,,-113.9975737,38.86524056,1639.577,4306093.619,239917.728,0.0178,0.0209,0.0032
SV1072,1072,1072,4/16/2018,Precise,,-114.0329187,38.77785568,1649.831,4296495.173,236528.2442,0.0143,0.0211,0.003
SV1073,1073,1073,4/16/2018,Precise,,-114.0003797,38.82108099,1641.476,4301199.876,239513.0795,0.0259,0.0317,0.0041
